Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,Unnamed: 17,Latitude,Longitude,GSPGroup
Anesco,Huntingdon,Solar,PV,No,Solar,, 	10.2 ,LV,England,East of England,PE285YJ,,520021.0,281612.0,2014.0,SOL-000662,,52.41934004617704,-0.23658029830302368,_A
Anesco,Blackdown,Solar,PV,No,Solar,, 	7.5 ,LV,England,South West,TA37DY,,320819.0,114679.0,2014.0,SOL-000664,,50.92611006653763,-3.127988154414295,_L
Anesco,Mendip,Solar,PV,No,Solar,, 	7.2 ,LV,England,South West,BA53AA,,359176.0,151234.0,2014.0,SOL-000666,,51.258796490813076,-2.5864194663337847,_L
Anesco,Newnton Dairy,Solar,PV,No,Solar,, 	7.2 ,LV,England,South West,SN169SR,,392277.0,191968.0,2014.0,SOL-000667,,51.62647377218534,-2.112964441790273,_H
Anesco,Whitchurch,Solar,PV,No,Solar,, 	6.5 ,LV,England,South West,BA34DW,,363439.0,153553.0,2014.0,SOL-000669,,51.27993784406591,-2.5255685705968567,_L
Anesco,Watchfield Solar Farm,Solar,PV,No,Solar,, 	10.7 ,LV,England,South West,TA94LD,,334135.0,147772.0,2014.0,SOL-000670,,51.225322780534746,-2.9445939030323314,_L
Anesco,Eynsham Solar Farm,Solar,PV,No,Solar,, 	13.5 ,LV,England,South East,OX296XD,,439658.0,210754.0,2014.0,SOL-000682,,51.794038027060026,-1.4263734132497563,_H
Anesco,Steventon,Solar,PV,No,Solar,, 	10.0 ,LV,England,South East,OX136AP,,444299.0,192928.0,2014.0,SOL-000683,,51.63342469328938,-1.3613449814044702,_H
Anesco,Anglesey,Solar,PV,No,Solar,, 	14.9 ,LV,Wales,Wales,LL635SZ,,238717.0,367342.0,2014.0,SOL-000710,,53.17866848605871,-4.414809438808522,_D
Anesco,Welbeck,Solar,PV,No,Solar,, 	11.3 ,LV,England,East Midlands,NG209PU,,457669.0,369999.0,2014.0,SOL-000717,,53.223916890933644,-1.1376828315309004,_B
Anesco,Salcey Farm,Solar,PV,No,Solar,, 	5.5 ,LV,England,South East,MK168LP,,485184.0,250544.0,2014.0,SOL-000718,,52.146625201332185,-0.756522169061396,_B
Anesco,Bulls Head North,Solar,PV,No,Solar,, 	5.5 ,LV,England,South East,MK168LP,,481460.0,251327.0,2014.0,SOL-000719,,52.154224226111644,-0.810744885615237,_B
